title,label
Titagarh Rail Systems raises ₹700 crore via issue of shares to qualified institutional buyers - CNBCTV18,Titagarh
"Titagarh Rail shares give up record high, fall after three days; what’s next? - Business Today",Titagarh
Titagarh Rail Systems fetches Rs 700 crore via QIP; stock gains ~1% - Indiainfoline,Titagarh
"Hot stocks on December 12: IREDA, Safari Industries, Titagarh Rail, YES Bank and more - Business Today",Titagarh
"Titagarh Rail launches ₹700 crore QIP to use funds for repaying debt, working capital - CNBCTV18",Titagarh
Titagarh Rail Systems stock gains on launching Rs 700-crore QIP issue - Moneycontrol,Titagarh
"Titagarh Rail shares hit Rs 1,000 mark as firm launches QIP to raise Rs 700 crore - Business Today",Titagarh
Titagarh Rail Systems shares rise after the launch of Rs 700 crore QIP issue - Zee Business,Titagarh
Titagarh Rail shares rise after QIP announcement - Investing.com India,Titagarh
"Titagarh Rail Systems Surges on Rs 700 Crore QIP Launch, Eyes Debt Repayment - Indiainfoline",Titagarh
Titagarh Rail Systems Limited's (NSE:TITAGARH) market cap rose ₹5.6b last week; individual investors who hold 27% profited and so did insiders - Simply Wall St,Titagarh
Titagarh Rail Systems share price Today Live Updates : Titagarh Rail Systems: Stocks Soar on Positive Trading Day | Mint - Mint,Titagarh
Railway supply industry news round-up | News - Railway Gazette,Titagarh
"Titagarh Rail Systems share price Today Live Updates : Titagarh Rail Systems closed today at ₹963.3, down -0.5% from yesterday's ₹968.15 | Mint - Mint",Titagarh
Titagarh Rail Systems hits record high with ABB India alliance By Investing.com - Investing.com Nigeria,Titagarh
"Titagarh Rail Systems share price Today Live Updates : Titagarh Rail Systems closed today at ₹968.15, down -3.1% from yesterday's ₹999.1 | Mint - Mint",Titagarh
"Titagarh Rail Systems Shares Rise 12%, Hit Record High; Here Why - News18",Titagarh
"CPI MP Binoy Viswam writes to Railway minister, flags concern about coach factory in Chennai - IndiaTimes",Titagarh
ABB and Titagarh team up on propulsion systems for Indian market - International Railway Journal,Titagarh
Titagarh Rail Systems share price hits 52-week high on partnership with ABB for metro projects in India | Mint - Mint,Titagarh
"Titagarh Rail Systems shares cross ₹1,000 for the first time, hit record high - CNBCTV18",Titagarh
"Titagarh Rail shares cross Rs 1,000 mark for first time; how strong is the uptrend? - Business Today",Titagarh
"Titagarh Rail up 12%, hits record high on pact with ABB for metro projects - Business Standard",Titagarh
ABB forms strategic partnership with Titagarh for metro projects in India - ETInfra.com,Titagarh
"Hot stocks on November 21: Titagarh Rail, Suzlon Energy, KPIT Technologies, Rallis India and more - Business Today",Titagarh
"Titagarh Rail Systems share price Today Live Updates : Titagarh Rail Systems closed today at ₹999.1, up 6.74% from yesterday's ₹936.05 | Mint - Mint",Titagarh
Titagarh Rail scales 52-week high on strategic tie-up with ABB India - Moneycontrol,Titagarh
Titagarh Rail Systems shares hit record high on deal with ABB India; check details - Business Today,Titagarh
ABB and Titagarh confirm India partnership - Railway Technology,Titagarh
"Titagarh Rail shares fall 6% from record high; can they cross Rs 1,100 mark? - Business Today",Titagarh
ABB partners with Titagarh Rail Systems for Indian metro projects By Investing.com - Investing.com,Titagarh
ABB and Titagarh Rail Systems forge partnership for Metro Propulsion Systems in India - ETEnergyWorld,Titagarh
"ABB India partners with Titagarh Rail for metro projects, bags Gujarat orders - CNBCTV18",Titagarh
"Titagarh Rail Systems share price Today Live Updates : Titagarh Rail Systems closed today at ₹941, down -3.42% from yesterday's ₹974.35 | Mint - Mint",Titagarh
ABB forms strategic partnership with Titagarh for metro projects in India - Business Standard,Titagarh
Railway stocks rise on plan to introduce 3K trains - The New Indian Express,Titagarh
"Titagarh shares zoom 19% to hit one-year high, other railway stocks shine too; here's why - Business Today",Titagarh
"Hot stocks on November 17: Tata Motors, Suzlon Energy, Titagarh Rail, Delhivery and more - Business Today",Titagarh
"Titagarh Rail Systems share price Today Live Updates : Titagarh Rail Systems closed today at ₹974.35, up 16.19% from yesterday's ₹838.6 | Mint - Mint",Titagarh
"Rs 160 to Rs 849: This railway stock turned into a multibagger in a year, what's next? - Business Today",Titagarh
Is Titagarh Rail Systems Limited (NSE:TITAGARH) Potentially Undervalued? - Simply Wall St,Titagarh
Titagarh Rail plans to raise up to Rs 700 cr via QIP - ETInfra.com,Titagarh
Titagarh Rail Systems shares delivered multibagger returns this year; where is the stock headed? - Business Today,Titagarh
Titagarh Rail shares increase 9% to move close to a 52-week high thanks to strong Q2 earnings. - Indiainfoline,Titagarh
"If EPS Growth Is Important To You, Titagarh Rail Systems (NSE:TITAGARH) Presents An Opportunity - Simply Wall St",Titagarh
"Titagarh Rail lands ₹350 crores contract with GMRC, shares rise - BusinessLine",Titagarh
Titagarh Rail shares zoom 9%; here's why - Fortune India,Titagarh
Titagarh Rail shares soar 9% to trade near 52-week high on robust Q2 results - Moneycontrol,Titagarh
Titagarh Rail Systems bags Rs 350 crore contract from Gujarat Metro - Moneycontrol,Titagarh
Titagarh Rail Systems bags Rs 350 crore metro rail contract from GMRC - Business Standard,Titagarh
Railway stock: Nuvama ups share price target for multibagger Titagarh Rail to Rs 949 - Business Today,Titagarh
"Hot stocks on October 20, 2023: YES Bank, Tanla Platforms, Titagarh Rail, Dilip Buildcon and more - Business Today",Titagarh
Titagarh Rail shares in news today post Q2 earnings; EPS nearly doubles YoY - Business Today,Titagarh
Titagarh Rail share price trades lower despite profitable Q2FY24 - Moneycontrol,Titagarh
"Titagarh Rail Systems Q2 Results: Net profit rises 46.4% to ₹70.5 crore, revenue up 54% YoY | Mint - Mint",Titagarh
"Titagarh Rail Systems Q2 Results | Net profit rises 47% to ₹71 crore, revenue up 54% - CNBCTV18",Titagarh
Indian Wheels for Vande Bharat Trains - Rediff.com,Titagarh
"Stocks to buy: IRCON, RITES, Titagarh Rail - three railway stocks with up to 30% upside | Mint - Mint",Titagarh
Titagarh Rail Systems stock jumps 4.4% after company signs contract worth ₹857 crore - MintGenie,Titagarh
Titagarh Rail shares in news today as firm inks Rs 857-crore contract with Gujarat Metro Rail - Business Today,Titagarh
Titagarh Rail Systems bags Rs 857-crore Gujarat Metro Rail contract for its Surat phase I project - CNBCTV18,Titagarh
"Jupiter Wagons shares rose 253% in six months, beat RVNL, Titagarh Rail, IRFC; how strong is the uptrend? - Business Today",Titagarh
We Think Shareholders Will Probably Be Generous With Titagarh Rail Systems Limited's (NSE:TITAGARH) CEO Compensation - Simply Wall St,Titagarh
Titagarh Rail Systems Limited's (NSE:TITAGARH) Stock's On An Uptrend: Are Strong Financials Guiding The Market? - Simply Wall St,Titagarh
Titagarh Rail shares rise 5% on HSBC upgrade. Here're near-term technical levels to watch - Business Today,Titagarh
"Titagarh Rail gains on positive outlook, HSBC raises the target price to Rs 750 - Moneycontrol",Titagarh
Titagarh Rail shares up 4x in a year. What analysts say on this multibagger stock - Business Today,Titagarh
Titagarh Rail to expand production capacity to 1000 wagons per month by year-end - CNBCTV18,Titagarh
Titagarh Rail Systems launches diving support craft for Indian Navy - MyIndMakers,Titagarh
Titagarh Rail Systems rolls out new diving support craft for Indian Navy - The Indian Express,Titagarh
Titagarh Rail shares fall 10% from record high; right time to book profit? - Business Today,Titagarh
Rs 49 to Rs 813: This railway stock turned into a multibagger in three years; trading in overbought zone - Business Today,Titagarh
Škoda Group secures €732m contract with Trenitalia - Railway Technology,Titagarh
Titagarh Rail Share Price: Stock at record high after HSBC projects 35% upside - CNBCTV18,Titagarh
